obsid,uid,KIC,ra,dec,SNR_g,SNR_r,Gaiamag,R_Gaia,R_Kepler,R_TranSR-Net
458106238,G14026879206908,4543171,285.2372589,39.66641944,387.43,532.57,10.303897,1.7502,1.67,1.7938
458109238,G14024908546726,5344612,285.3909547,40.5172928,361.19,583.67,11.03403,1.8372,1.78,1.923
458113144,G14024797221324,5689219,285.9456297,40.9206475,476.97,637.74,18.159056,1.7706,1.8,1.6285
458113208,G14024944844287,5431016,285.5890833,40.60523944,336.87,441.62,10.608392,2.3001,2.22,2.2716
458116229,G14034133420279,6837853,282.007089,42.353355,277.5,385.94,11.00283,1.3901,1.35,1.4794
459804201,G14031673336299,8016496,286.8507497,43.8087925,217.05,341.31,11.317321,2.4537,2.04,2.3906
459809120,G14075738429415,8289241,287.6273233,44.28083361,232.08,405.92,10.331982,1.4118,1.33,1.4794
459809182,G14083234037212,8019508,288.3093317,43.85108556,163.76,306.99,10.496287,2.7452,2.59,3.0106
459814174,L14032664869724,8150065,285.0289103,44.02918833,56.17,72.63,10.692076,1.4602,1.42,1.4418
459814219,G14032730984689,8216936,284.3486239,44.11801583,229.33,298.16,10.417378,2.4441,1.92,1.9744
576506123,G14082983513136,3534307,288.38681,38.6973,182.3,270.97,11.263635,1.486,1.44,1.5807
576508072,G14082614916834,4247542,287.06827,39.355221,271.29,378.62,11.422882,1.6023,1.6,1.7053
579810075,G14080440386194,4465529,291.94714,39.584358,126.12,189.55,14.89126,1.7027,1.62,1.6828
580513012,L14085249503417,4755204,294.14911,39.81197,79.64,85.65,20.11782,1.6855,1.67,1.6317
580605033,G14080684516957,2849125,290.73065,38.085678,287.95,440.64,11.292012,2.7818,2.42,2.7676
580703033,G14082730599028,3438633,290.02832,38.598019,359.55,449.42,11.119562,1.9944,1.98,1.8789
580705246,G14080703859004,3112152,290.34293,38.286911,221.96,300.17,11.655534,1.7967,1.8,1.775
581801112,G14081255275569,6593461,287.71899,42.055592,273.25,411.61,11.266235,1.3712,1.29,1.4487
581210130,G14030032669327,10100000,287.47226,47.115891,212.73,324.99,11.387236,1.348,1.08,1.279
